plate,longitude,latitude,time,status
2,114.00846899999999,22.648433999999998,2016-07-05 00:00:03,0
0,114.04363300000001,22.601618,2016-07-05 00:00:04,1
4,114.067581,22.5242,2016-07-05 00:00:14,0
0,114.04371599999999,22.603149,2016-07-05 00:00:14,1
4,114.067581,22.5242,2016-07-05 00:00:29,0
3,113.85173,22.62525,2016-07-05 00:00:06,1
3,113.85173,22.62525,2016-07-05 00:00:26,1
3,113.85173,22.62525,2016-07-05 00:00:34,1
0,114.04435,22.60705,2016-07-05 00:00:34,1
4,114.067581,22.5242,2016-07-05 00:00:44,0
0,114.04461699999999,22.609118,2016-07-05 00:00:44,1
0,114.044785,22.611099,2016-07-05 00:00:54,1
4,114.067581,22.5242,2016-07-05 00:00:59,0
3,113.855331,22.62565,2016-07-05 00:00:57,1
3,113.85652900000001,22.625383,2016-07-05 00:01:03,1
0,114.04483,22.61285,2016-07-05 00:01:04,1
4,114.067581,22.5242,2016-07-05 00:01:14,0
0,114.04476899999999,22.614532,2016-07-05 00:01:14,1
3,113.861549,22.623684,2016-07-05 00:01:24,1
0,114.04461699999999,22.61635,2016-07-05 00:01:24,1
1,114.137817,22.568632,2016-07-05 00:00:03,0
1,114.13784799999999,22.568716000000002,2016-07-05 00:00:04,0
4,114.067581,22.5242,2016-07-05 00:01:29,0
0,114.04436499999998,22.61825,2016-07-05 00:01:34,1
4,114.058098,22.531834,2016-07-05 00:08:06,1
2,114.00846899999999,22.648451,2016-07-05 00:08:34,0
3,113.92588,22.56605,2016-07-05 00:08:28,1
3,113.92588,22.56605,2016-07-05 00:08:35,1
2,114.00848400000001,22.6485,2016-07-05 00:08:40,0
0,114.051552,22.637318,2016-07-05 00:08:14,0
0,114.051552,22.637318,2016-07-05 00:08:24,0
0,114.051552,22.637318,2016-07-05 00:08:34,0
0,114.051552,22.637318,2016-07-05 00:08:44,0
2,114.00851399999999,22.6485,2016-07-05 00:08:52,0
0,114.051552,22.637318,2016-07-05 00:08:54,0
0,114.051552,22.637318,2016-07-05 00:09:04,0
3,113.92593400000001,22.565967999999998,2016-07-05 00:08:58,1
3,113.92593400000001,22.565967999999998,2016-07-05 00:09:06,1
2,114.008453,22.648433999999998,2016-07-05 00:09:06,0
4,114.05553400000001,22.531717,2016-07-05 00:08:21,1
4,114.053299,22.531717,2016-07-05 00:08:36,1
0,114.051552,22.637318,2016-07-05 00:09:14,0
2,114.00846899999999,22.648466,2016-07-05 00:09:19,0
0,114.051552,22.637318,2016-07-05 00:09:24,0
4,114.046066,22.531633,2016-07-05 00:09:26,1
2,114.00848400000001,22.648483,2016-07-05 00:09:32,0
0,114.051369,22.637266,2016-07-05 00:09:34,0
3,113.925964,22.565916,2016-07-05 00:09:29,1
3,113.925964,22.565916,2016-07-05 00:09:36,1
4,114.043747,22.5315,2016-07-05 00:09:41,1
0,114.05210100000001,22.636967000000002,2016-07-05 00:09:44,0
2,114.00843,22.648466,2016-07-05 00:09:45,0
0,114.05323,22.636417,2016-07-05 00:09:54,0
4,114.04378500000001,22.532066,2016-07-05 00:09:56,1
2,114.00841499999999,22.648417000000002,2016-07-05 00:09:57,0
0,114.054367,22.635866,2016-07-05 00:10:04,0
3,113.92714699999999,22.56465,2016-07-05 00:09:58,1
3,113.92831399999999,22.564332999999998,2016-07-05 00:10:07,1
2,114.00841499999999,22.648382,2016-07-05 00:10:11,0
4,114.044418,22.531401000000002,2016-07-05 00:10:11,1
0,114.055168,22.635683,2016-07-05 00:10:14,0
0,114.055435,22.635317,2016-07-05 00:10:24,0
4,114.04467,22.529516,2016-07-05 00:10:26,1
0,114.05551899999999,22.63435,2016-07-05 00:10:34,0
3,113.929047,22.561817,2016-07-05 00:10:30,1
3,113.92907,22.56085,2016-07-05 00:10:36,1
0,114.05551899999999,22.633484,2016-07-05 00:10:44,0
4,114.044853,22.527834,2016-07-05 00:10:41,1
0,114.05556499999999,22.632799,2016-07-05 00:10:54,0
4,114.04413600000001,22.5277,2016-07-05 00:10:56,1
0,114.05558,22.631783,2016-07-05 00:11:04,0
4,114.04363300000001,22.527617000000003,2016-07-05 00:11:11,1
0,114.05555,22.63105,2016-07-05 00:11:14,0
0,114.055351,22.630484,2016-07-05 00:11:24,0
4,114.04311399999999,22.527533,2016-07-05 00:11:26,1
0,114.05532099999999,22.630182,2016-07-05 00:11:34,0
3,113.928719,22.556632999999998,2016-07-05 00:10:59,1
3,113.928482,22.5548,2016-07-05 00:11:11,1
3,113.92773400000002,22.554882,2016-07-05 00:11:34,1
3,113.928734,22.554916,2016-07-05 00:11:42,1
4,114.04303,22.527517,2016-07-05 00:11:41,1
0,114.05532099999999,22.630182,2016-07-05 00:11:44,0
1,114.15468600000001,22.616583,2016-07-05 00:11:50,0
1,114.15468600000001,22.616583,2016-07-05 00:11:51,0
0,114.05532099999999,22.630182,2016-07-05 00:11:54,0
1,114.154968,22.616501,2016-07-05 00:11:54,0
4,114.04178600000002,22.5271,2016-07-05 00:11:56,1
0,114.05532099999999,22.630182,2016-07-05 00:12:04,0
1,114.15603600000001,22.616198999999998,2016-07-05 00:12:09,0
4,114.04111499999999,22.527117,2016-07-05 00:12:11,1
3,113.932915,22.554951000000003,2016-07-05 00:12:05,1
3,113.93431899999999,22.554882,2016-07-05 00:12:13,1
0,114.05532099999999,22.6301,2016-07-05 00:12:14,0
1,114.156403,22.615868,2016-07-05 00:12:20,0
0,114.055283,22.629583,2016-07-05 00:12:24,0
4,114.04108400000001,22.526501,2016-07-05 00:12:26,1
1,114.15641799999999,22.615868,2016-07-05 00:12:33,0
0,114.055466,22.628817,2016-07-05 00:12:34,0
4,114.04113000000001,22.5264,2016-07-05 00:12:41,1
0,114.055481,22.627934,2016-07-05 00:12:44,0
1,114.156433,22.61585,2016-07-05 00:12:46,0
1,114.156517,22.615767,2016-07-05 00:12:54,0
0,114.05542,22.627117000000002,2016-07-05 00:12:54,0
4,114.04113000000001,22.5264,2016-07-05 00:12:56,1
0,114.055435,22.626568,2016-07-05 00:13:04,0
1,114.15686799999999,22.615299,2016-07-05 00:13:07,0
4,114.04113000000001,22.5264,2016-07-05 00:13:11,1
1,114.157021,22.615067,2016-07-05 00:13:15,0
0,114.05551899999999,22.625933,2016-07-05 00:13:14,0
3,113.93886599999999,22.555,2016-07-05 00:12:36,1
3,113.940399,22.554466,2016-07-05 00:12:53,1
3,113.94043,22.551983,2016-07-05 00:13:16,1
3,113.940468,22.551367000000003,2016-07-05 00:13:25,1
0,114.05555,22.625351000000002,2016-07-05 00:13:24,0
4,114.04113000000001,22.5264,2016-07-05 00:13:26,1
1,114.15718100000001,22.614616,2016-07-05 00:13:28,0
0,114.05556499999999,22.624832,2016-07-05 00:13:34,0
1,114.157486,22.613716,2016-07-05 00:13:41,0
4,114.04113000000001,22.5264,2016-07-05 00:13:41,1
0,114.05558,22.624582,2016-07-05 00:13:44,0
0,114.055618,22.624001,2016-07-05 00:13:54,0
4,114.04078700000001,22.525917,2016-07-05 00:13:56,1
0,114.055603,22.623449,2016-07-05 00:14:04,0
4,114.040199,22.5257,2016-07-05 00:14:11,0
0,114.055664,22.623301,2016-07-05 00:14:14,0
1,114.15773,22.613117000000003,2016-07-05 00:13:49,0
0,114.055664,22.622566,2016-07-05 00:14:24,0
4,114.040199,22.5257,2016-07-05 00:14:26,0
0,114.055664,22.621767000000002,2016-07-05 00:14:34,0
4,114.040199,22.5257,2016-07-05 00:14:41,0
0,114.055664,22.6208,2016-07-05 00:14:44,0
1,114.15827900000001,22.611732,2016-07-05 00:14:02,0
1,114.158569,22.6112,2016-07-05 00:14:10,0
1,114.158569,22.6112,2016-07-05 00:14:11,0
1,114.158813,22.610817,2016-07-05 00:14:18,0
1,114.158852,22.610832000000002,2016-07-05 00:14:27,0
1,114.15883600000001,22.610817,2016-07-05 00:14:31,0
1,114.158852,22.610733,2016-07-05 00:14:39,1
1,114.15886699999999,22.610701000000002,2016-07-05 00:14:41,1
1,114.158882,22.610666000000002,2016-07-05 00:14:47,1
0,114.055618,22.61985,2016-07-05 00:14:54,0
4,114.039253,22.525517,2016-07-05 00:14:56,0
1,114.158882,22.610634,2016-07-05 00:14:55,1
0,114.055603,22.619633,2016-07-05 00:15:04,0
1,114.158882,22.610617,2016-07-05 00:15:08,1
2,114.00841499999999,22.648533,2016-07-05 00:15:11,0
4,114.03883400000001,22.525766,2016-07-05 00:15:11,0
0,114.055603,22.619633,2016-07-05 00:15:14,0
1,114.15893600000001,22.610433999999998,2016-07-05 00:15:21,1
0,114.055603,22.6196,2016-07-05 00:15:24,0
3,113.940498,22.551268,2016-07-05 00:13:48,1
3,113.94063600000001,22.55085,2016-07-05 00:13:57,1
3,113.940063,22.549432999999997,2016-07-05 00:14:20,1
3,113.93886599999999,22.549084,2016-07-05 00:14:27,1
3,113.93713400000001,22.551117,2016-07-05 00:14:50,1
3,113.93710300000001,22.552282,2016-07-05 00:14:57,1
3,113.938782,22.55265,2016-07-05 00:15:20,1
3,113.93881999999999,22.55265,2016-07-05 00:15:28,1
4,114.038651,22.526882,2016-07-05 00:15:26,0
0,114.055618,22.61915,2016-07-05 00:15:34,0
4,114.03863500000001,22.526951,2016-07-05 00:15:41,0
0,114.055649,22.618334,2016-07-05 00:15:44,0
0,114.055664,22.617317,2016-07-05 00:15:54,0
4,114.03856699999999,22.527348999999997,2016-07-05 00:15:56,0
3,113.938797,22.552668,2016-07-05 00:15:38,0
3,113.938797,22.552668,2016-07-05 00:15:58,0
3,113.938797,22.552668,2016-07-05 00:15:59,0
0,114.055702,22.616751,2016-07-05 00:16:04,0
4,114.03842900000001,22.528316,2016-07-05 00:16:11,0
0,114.055679,22.616484,2016-07-05 00:16:15,1
0,114.055733,22.615617999999998,2016-07-05 00:16:25,1
4,114.038353,22.528933,2016-07-05 00:16:26,0
0,114.05563400000001,22.614983,2016-07-05 00:16:35,1
4,114.038284,22.52965,2016-07-05 00:16:41,0
0,114.05538200000001,22.614082,2016-07-05 00:16:44,1
0,114.05513,22.612932,2016-07-05 00:16:55,1
3,113.938797,22.552668,2016-07-05 00:16:22,0
3,113.938797,22.552668,2016-07-05 00:16:31,0
3,113.93946799999999,22.55265,2016-07-05 00:16:54,0
3,113.93998,22.552683,2016-07-05 00:17:00,0
4,114.038353,22.530434,2016-07-05 00:16:56,0
0,114.05498500000002,22.611867999999998,2016-07-05 00:17:05,1
4,114.03988600000001,22.530582,2016-07-05 00:17:11,0
0,114.05481699999999,22.610916,2016-07-05 00:17:14,1
0,114.05446599999999,22.60955,2016-07-05 00:17:24,1
4,114.04155,22.530849,2016-07-05 00:17:26,0
0,114.05416899999999,22.608534,2016-07-05 00:17:34,1
4,114.04348,22.531082,2016-07-05 00:17:41,0
0,114.05383300000001,22.607834,2016-07-05 00:17:45,1
0,114.05338300000001,22.607032999999998,2016-07-05 00:17:55,1
4,114.045647,22.531218,2016-07-05 00:17:56,0
0,114.052803,22.606333,2016-07-05 00:18:05,0
4,114.04766799999999,22.5312,2016-07-05 00:18:11,0
1,114.155899,22.597067000000003,2016-07-05 00:18:15,1
0,114.052719,22.606317999999998,2016-07-05 00:18:15,0
1,114.155716,22.597017,2016-07-05 00:18:16,1
1,114.15516699999999,22.596901000000003,2016-07-05 00:18:22,1
0,114.052719,22.606317999999998,2016-07-05 00:18:25,0
4,114.049553,22.531,2016-07-05 00:18:26,0
0,114.052467,22.606117,2016-07-05 00:18:35,0
4,114.050835,22.530001000000002,2016-07-05 00:18:41,0
0,114.051651,22.6054,2016-07-05 00:18:44,0
0,114.050529,22.604782,2016-07-05 00:18:55,0
4,114.05131499999999,22.529301,2016-07-05 00:18:56,0
0,114.04982,22.604517,2016-07-05 00:19:05,0
4,114.051353,22.528366000000002,2016-07-05 00:19:11,0
0,114.0485,22.6043,2016-07-05 00:19:15,0
0,114.047096,22.6042,2016-07-05 00:19:25,0
4,114.051414,22.526833,2016-07-05 00:19:26,0
0,114.04603600000002,22.604183,2016-07-05 00:19:35,0
4,114.051483,22.525984,2016-07-05 00:19:41,0
1,114.152946,22.59655,2016-07-05 00:18:42,1
1,114.152748,22.596451000000002,2016-07-05 00:18:45,1
1,114.152382,22.595948999999997,2016-07-05 00:18:50,1
1,114.15221399999999,22.595167,2016-07-05 00:18:58,1
4,114.051483,22.525984,2016-07-05 00:19:56,0
0,114.04463200000001,22.604616,2016-07-05 00:19:45,0
0,114.043465,22.604584,2016-07-05 00:19:55,0
2,114.00843,22.648533,2016-07-05 00:20:11,0
4,114.051483,22.525984,2016-07-05 00:20:11,0
0,114.043434,22.603117,2016-07-05 00:20:05,0
0,114.043419,22.601618,2016-07-05 00:20:15,0
0,114.04378500000001,22.6003,2016-07-05 00:20:25,0
4,114.05151399999998,22.525818,2016-07-05 00:20:26,0
0,114.04422,22.599182,2016-07-05 00:20:35,0
4,114.051598,22.526532999999997,2016-07-05 00:20:41,0
0,114.04413600000001,22.598132999999997,2016-07-05 00:20:45,0
0,114.04438,22.597467,2016-07-05 00:20:55,0
4,114.05158200000001,22.528032,2016-07-05 00:20:56,0
0,114.04438,22.597467,2016-07-05 00:21:05,0
4,114.05158200000001,22.529667,2016-07-05 00:21:11,0
0,114.04438,22.597467,2016-07-05 00:21:15,0
0,114.04438,22.597467,2016-07-05 00:21:25,0
